flat_type,year,month_num,prev_month_resale_price
2,2016,11,321313.4279207921
2,2016,12,323375.3654390935
2,2017,1,318483.656626506
2,2017,2,318325.7251908397
2,2017,3,320037.9306504065
2,2017,4,319823.36933045357
2,2017,5,320055.64285714284
2,2017,6,323187.6937799043
2,2017,7,314428.3025404157
2,2017,8,313794.4502074689
2,2017,9,316451.32311977714
2,2017,10,321695.5
2,2017,11,311346.6397515528
2,2017,12,316633.2367688022
2,2018,1,312210.65134099615
2,2018,2,307493.28
2,2018,3,306984.8255528255
2,2018,4,306154.9497716895
2,2018,5,309928.085492228
2,2018,6,312036.0761099366
2,2018,7,311140.6391752577
2,2018,8,304649.9430894309
2,2018,9,299686.98163265304
2,2018,10,305577.9505928854
2,2018,11,303611.9977876106
2,2018,12,299372.09803921566
2,2019,1,297993.4529262087
2,2019,2,298789.7515151515
2,2019,3,303933.97044334974
2,2019,4,294881.9735682819
2,2019,5,300290.04048583
2,2019,6,296722.7853982301
2,2019,7,298470.4701195219
2,2019,8,300309.55454545456
2,2019,9,298923.43468950747
2,2019,10,299518.20320855617
2,2019,11,302669.1380846325
2,2019,12,301084.65684210527
2,2020,1,304580.12362030905
2,2020,2,303590.6338797814
2,2020,3,302609.11790393014
2,2020,4,286696.33684210526
2,2020,5,302594.1176470588
2,2020,6,299292.85133020347
2,2020,7,305102.4690553746
2,2020,8,314692.54706927174
2,2020,9,319064.700729927
2,2020,10,327015.64285714284
2,2020,11,328508.578125
2,2020,12,327916.987202925
2,2021,1,333167.6597744361
2,2021,2,334804.2317596566
2,2021,3,338611.8264758497
2,2021,4,344541.15367965365
2,2021,5,354865.57843137253
2,2021,6,352574.3
2,2021,7,351642.3650513699
2,2021,8,354869.73656845756
2,2021,9,359340.40074906364
2,2021,10,365975.69439728354
2,2021,11,369529.59432727273
2,2021,12,371258.2878504673
2,2022,1,372747.53673504276
2,2022,2,372761.74942528736
2,2022,3,382739.7706422018
2,2022,4,379816.19715447153
2,2022,5,387326.1920152091
2,2022,6,390199.1440677966
2,2022,7,387985.5063063063
2,2022,8,393211.3754385965
2,2022,9,398720.8745819398
2,2022,10,402021.54013015184
2,2022,11,402308.8142589118
2,2022,12,395938.5186500888
2,2023,1,409668.8471810089
2,2023,2,406124.8
2,2023,3,410420.00690846285
2,2023,4,407161.9163265306
2,2023,5,409543.18518518517
2,2023,6,414189.32857142854
2,2023,7,413822.19327731093
2,2023,8,410858.65352472087
2,2023,9,415015.5397148676
2,2023,10,413717.1364485981
2,2023,11,420409.2908884688
2,2023,12,412650.8968253968
2,2024,1,420368.70588235295
2,2024,2,425037.1818181818
2,2024,3,423526.24975409836
2,2024,4,430961.32363013696
2,2024,5,432521.7944358578
2,2024,6,442420.9922928709
2,2024,7,443826.59072305594
2,2024,8,445975.0306946688
2,2024,9,452227.1433756806
2,2024,10,447675.45486725663
2,2024,11,461160.5229357798
2,2024,12,457889.41650671785
2,2025,1,461286.0863787375
3,2015,1,439399.95791583165
3,2015,2,439245.5263157895
3,2015,3,433758.67686424474
3,2015,4,435514.8434650456
3,2015,5,433867.7363636364
3,2015,6,435355.82020802377
3,2015,7,424313.08320251177
3,2015,8,433113.8669001751
3,2015,9,434279.04845637584
3,2015,10,429998.2625698324
